year,region,e,Omega_agg,Omega_pw,Y_ratio_agg,Y_ratio_pw,alpha_core,alpha_per,sigma,K_core,K_per,L_core,L_per
1998,Latin America,.0476597656602056,11.67140785917886,3.253595447863357,9.547641597251948,2.661560937074072,.6151136391553659,.453077972121017,1.41895516894602,118568758.671875,10158908,351.0270739495754,97.85452651977539
1998,Other Asia,.2793806736733486,19.79682887560177,6.564925334244422,12.3077440688478,4.081432503796361,.6151136391553659,.5552455055400467,1.208661082486093,118568758.671875,5989280.375,351.0270739495754,116.4058418273926
1999,China,.0966574531406937,9.138646285783516,18.46099448755993,6.051879459885012,12.22541171356164,.6178320896208924,.605469822883606,.8523318816955493,119255212.5,13049549,354.7186282277107,716.5676879882813
1999,East Europe,.1497873185672491,24.47687052951341,3.030298013185385,21.55937292924768,2.669104486794897,.6178320896208924,.5793709335756603,1.338630329533969,119255212.5,4872159.3046875,354.7186282277107,43.91505658626556
1999,India,.2699113219431971,20.30306555228564,22.9112802459305,13.4433954402039,15.17038890477806,.6178320896208924,.6021008491516113,1.228557709752335,119255212.5,5873754,354.7186282277107,400.2872314453125
1999,Latin America,.0618283223050443,11.30123964204924,3.266456033735138,9.939160022715326,2.872767081733219,.6178320896208924,.4520079590683416,1.428608995947394,119255212.5,10552401,354.7186282277107,102.5261688232422
1999,Other Asia,.1648311328570537,18.97956586916584,6.336921071312785,12.83846773440375,4.286523583855192,.6178320896208924,.5597888305377327,1.28850126934879,119255212.5,6283347.75,354.7186282277107,118.4338970184326
2000,China,.0977259903797986,8.408234106511548,16.92858562844808,5.742580775290137,11.56173450350224,.6215505377906101,.5906602144241333,.8941911736036978,121164713.4921875,14410245,359.4875913858414,723.7686767578125
2000,East Europe,.1547940021829678,24.59715032038246,2.959516244325638,21.84067703529037,2.627858822306319,.6215505377906101,.5795828970452066,1.352258613414306,121164713.4921875,4925965.484375,359.4875913858414,43.25335872173309
2000,India,.2785510735527073,18.71523337598068,21.30583093202453,13.42972605142561,15.28869381251229,.6215505377906101,.5949136018753052,1.32524213306791,121164713.4921875,6474122.5,359.4875913858414,409.24853515625
2000,Latin America,.0491259586421376,11.45507913559564,3.37800349963197,10.0745639640141,2.9709015472407,.6215505377906101,.4510223114908869,1.409029253685552,121164713.4921875,10577379,359.4875913858414,106.0097732543945
2000,Other Asia,.1510264282305344,18.37931683618004,6.160273157934459,12.86648905529954,4.312515414511613,.6215505377906101,.5596828978024498,1.237404028526363,121164713.4921875,6592449.25,359.4875913858414,120.4909725189209
2001,China,.0844525483771926,7.649969729448903,15.51295581035415,5.288841444835054,10.72495271528431,.6228433015219186,.5872491598129272,.8159927935640954,122653640.015625,16033219,360.4866701960564,731.01123046875
2001,East Europe,.1420225164858603,24.20565166105268,2.868613474315059,21.12701642485238,2.503764196769055,.6228433015219186,.5874968294676363,1.356568680668983,122653640.015625,5067148.8515625,360.4866701960564,42.72130054235458
2001,India,.2359771007405512,16.85268974351215,19.62380089443881,12.87007137639125,14.98631506491401,.6228433015219186,.583523154258728,1.244953403414579,122653640.015625,7277986,360.4866701960564,419.7619934082031
2001,Latin America,.056579648083578,11.54304633415633,3.433217880626088,10.17102632689715,3.02514158212241,.6228433015219186,.4621596784171249,1.393678085809078,122653640.015625,10625760,360.4866701960564,107.2186012268066
2001,Other Asia,.1835393694563448,18.67553432816112,6.244957175329811,13.18989142653093,4.410599753589277,.6228433015219186,.5540147519724349,1.403408659992555,122653640.015625,6567610.75,360.4866701960564,120.5440111160278
2002,China,.0954888815088792,6.897261168025254,14.10770143914271,4.893114703771235,10.00840763697627,.6150740845645746,.6030735373497009,.7803057908627073,123843979.8203125,17955530,360.3019446730614,736.9638671875
2002,East Europe,.1464433164081231,24.61525557664824,2.829966121920477,20.80987957638499,2.392469743774781,.6150740845645746,.5743574993828706,1.387454603630506,123843979.8203125,5031188.0546875,360.3019446730614,41.42318546772003
2002,India,.2218646140418589,15.23979257373323,18.21884639672676,12.35574338223598,14.77102721111294,.6150740845645746,.5580889582633972,1.13571495914316,123843979.8203125,8126356,360.3019446730614,430.7332763671875
2002,Latin America,.0666067718818367,11.58676832646771,3.565167827551561,10.24104755123258,3.151098927789701,.6150740845645746,.4537560391109478,1.337513759313202,123843979.8203125,10688397,360.3019446730614,110.8623962402344
2002,Other Asia,.1427364651496022,19.02320280293101,6.429419111114664,13.19687456746154,4.460249855400127,.6150740845645746,.5483413941600455,1.342584703165357,123843979.8203125,6510154,360.3019446730614,121.774037361145
2003,China,.1189929961007621,6.280359379762671,12.90340576221172,4.502609201790557,9.250902696203237,.6090381487226012,.5981816649436951,.739423143145861,127539465.765625,20307670,360.9726784229279,741.6417846679688
2003,East Europe,.1447495017842406,24.40617375841903,2.776391369751316,20.93951684475176,2.382032285354712,.6090381487226012,.567484237031194,1.339078427036142,127539465.765625,5225705.0625,360.9726784229279,41.06343907117844
2003,India,.1923389030968473,14.01214930786845,17.17224641762324,11.50447532550254,14.09902798309881,.6090381487226012,.5506255626678467,1.058855227922862,127539465.765625,9102063,360.9726784229279,442.3812255859375
2003,Latin America,.0829957349307699,11.46872305122051,3.57698385567105,10.3598084027325,3.231124096285142,.6090381487226012,.4488576980593449,1.360130092340377,127539465.765625,11120633.5,360.9726784229279,112.5838890075684
2003,Other Asia,.1275024925920355,18.35414591108833,6.258016416779335,13.38215060105336,4.56276846435071,.6090381487226012,.5481843342683075,1.217294881067884,127539465.765625,6948809.625,360.9726784229279,123.0769853591919
2004,China,.1224389729198361,5.773754006311641,11.84228154764509,4.189277060836388,8.592433688945405,.6035268114126866,.5762236714363098,.7387237510284932,132765475.65625,22994654,363.9994665086269,746.5825805664063
2004,East Europe,.1410901330164085,24.19517561380513,2.736082312396499,20.75836764625043,2.347435020009646,.6035268114126866,.5502103215842435,1.22106537674369,132765475.65625,5487270.59375,363.9994665086269,41.16244155168533
2004,India,.2245554058937957,12.88899482473738,16.09515527188415,10.87920419153325,13.5854256346812,.6035268114126866,.5153266191482544,.9119195736033759,132765475.65625,10300685,363.9994665086269,454.5449829101563
2004,Latin America,.0827054403403231,11.36049985988211,3.676215684303834,10.22350939536126,3.308289780503082,.6035268114126866,.4382358017997963,1.335302904571453,132765475.65625,11686587.5,363.9994665086269,117.7888793945313
2004,Other Asia,.1437836690985272,17.37559851305117,5.952128522883264,12.66053033864364,4.336950101998929,.6035268114126866,.5410777849688068,1.156651837591417,132765475.65625,7640915.25,363.9994665086269,124.6904735565186
2005,China,.1270895043435626,5.318854529782974,10.86846238314446,3.766289023180889,7.695974827527687,.5969960526439577,.5697486996650696,.8024284063888187,138507141.9375,26040784,367.6803700327873,751.3121948242188
2005,East Europe,.1166283258891432,23.97382044510314,2.700405132572006,20.6325198142918,2.324041866084289,.5969960526439577,.5557841081744758,1.181279456390204,138507141.9375,5777433.0234375,367.6803700327873,41.41542482376099
2005,India,.2021027747683748,11.92187211920879,14.83871017068032,9.81202583667371,12.21266308863,.5969960526439577,.5038816928863525,.8711576627211036,138507141.9375,11617902,367.6803700327873,457.6380615234375
2005,Latin America,.0517893739335131,11.15984194429874,3.657233271577231,10.05857487312138,3.296332947566832,.5969960526439577,.4421562370044345,1.389216016007883,138507141.9375,12411210,367.6803700327873,120.4939002990723
2005,Other Asia,.138064891861471,16.56038232513654,5.681404758742703,12.04238137407703,4.131404788971963,.5969960526439577,.5361217002977283,1.11217022530767,138507141.9375,8363764.75,367.6803700327873,126.1408681869507
2006,China,.1055406036819748,4.911923624120037,9.959649700300712,3.599943776502308,7.299417030565868,.5966556993486709,.5618306994438171,.7568474383810171,146370333.484375,29798984,372.6197781562805,755.5415649414063
2006,East Europe,.1092617769062622,23.33558190757124,2.655404168492114,19.89891290145713,2.264338488591405,.5966556993486709,.5492472838393722,1.0862066335501,146370333.484375,6272409.8359375,372.6197781562805,42.40117585659027
2006,India,.2113744670120744,11.11202465945066,13.65739270599962,9.035255854708039,11.1049103281085,.5966556993486709,.4834810793399811,.8746946213520156,146370333.484375,13172247,372.6197781562805,457.9736633300781
2006,Latin America,.0418087965900113,11.19895178940472,3.734516213422495,9.616680889536839,3.206876087748083,.5966556993486709,.4415093589033012,1.356213257500004,146370333.484375,13070003,372.6197781562805,124.2575759887695
2006,Other Asia,.1097709517060007,14.74888037660747,5.042505949301202,11.37281378267295,3.888259969236668,.5966556993486709,.5284094508646762,1.037374935577759,146370333.484375,9924165.75,372.6197781562805,127.3952598571777
2007,China,.0959554513760226,4.447389964125493,8.96202833587242,3.370369881229279,6.791702688902197,.5936330653386038,.5627607703208923,.7046742553620127,153354313.6875,34481868,376.8897159695625,759.4783325195313
2007,East Europe,.0919490953228733,22.84521813157274,2.634545263934414,18.63617868084871,2.149152439635095,.5936330653386038,.5392787150927139,.9814029146483253,153354313.6875,6712753.3125,376.8897159695625,43.46349465847015
2007,India,.1664301657397919,10.1792874013903,12.3977561379396,8.312002772762783,10.1235164438442,.5936330653386038,.4840441644191742,.7650510416817882,153354313.6875,15065329,376.8897159695625,459.0288696289063
2007,Latin America,.0346744073095487,10.81616428254595,3.604100228921814,9.259462002747419,3.085384823309985,.5936330653386038,.4450895629992664,1.270041208103529,153354313.6875,14178253,376.8897159695625,125.5850296020508
2007,Other Asia,.0994213562961222,12.56154358126865,4.37791450788033,10.80065410293028,3.764214165711648,.5936330653386038,.52234172516494,.9834417607338464,153354313.6875,12208238,376.8897159695625,131.3525638580322
2008,China,.0720692020491236,3.991571356256292,8.048584379816896,3.139862039997661,6.331202004016622,.5957451789770948,.5648537874221802,.6405764790587547,160439645.96875,40194608,378.4760020971298,763.1571044921875
2008,East Europe,.0779697515425704,21.0449881536112,2.458824913837072,17.81925593339735,2.081941320910564,.5957451789770948,.5523491745566566,.9251392318929421,160439645.96875,7623651.046875,378.4760020971298,44.21985018253326
2008,India,.1584833430212336,9.27891959274163,11.29753632645176,7.825461945360145,9.52788088261148,.5957451789770948,.5030586719512939,.8352198291877042,160439645.96875,17290768,378.4760020971298,460.8129577636719
2008,Latin America,.0258791135288845,10.14414120296034,3.422785391111318,8.683619102202803,2.929983328339433,.5957451789770948,.4532671442803199,1.151854877663322,160439645.96875,15815991,378.4760020971298,127.7034797668457
2008,Other Asia,.070341489734272,11.14026869491315,3.977394717717591,9.993758687440026,3.568057836138047,.5957451789770948,.516242081171618,.9528672294439752,160439645.96875,14401775.25,378.4760020971298,135.126763343811
2009,China,.0569309565894281,3.450510554134964,7.128863572308656,2.818426941617137,5.822958904220704,.598443528917078,.5644687414169312,.4983310886515764,164465204.0625,47664020,371.2308065593243,766.9745483398438
2009,East Europe,.0889201768310721,20.02157853794808,2.336155392700715,16.86192880777468,1.967481527041249,.598443528917078,.5355391825820243,1.002887304542155,164465204.0625,8214397.46875,371.2308065593243,43.31590783596039
2009,India,.1227201376949158,8.299315964555786,10.36506899484119,7.09306572361016,8.858575324056549,.598443528917078,.5125159621238708,.676504798258693,164465204.0625,19816718,371.2308065593243,463.6325378417969
2009,Latin America,.0414389298312698,8.858603450426207,3.068439482722818,8.151094653504565,2.823372871603248,.598443528917078,.4781851165121442,1.024628652430002,164465204.0625,18565590.5,371.2308065593243,128.5867767333984
2009,Other Asia,.0664176642732466,9.671419228217705,3.575028590407217,9.31429650825763,3.443018602626289,.598443528917078,.5135990622947572,.9026260331496707,164465204.0625,17005281.25,371.2308065593243,137.225025177002
